Amino Acid,MW,pI,hI,conc ,C1%,C2%,C3%,P,T,LogP,NumHDonors,NumHAcceptors,LogP,NumHDonors,NumHAcceptors
Serine,105.09,5.7,-0.8,15.29,93.0,5.0,2.0,1.24,274.05,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,93.0,5.0,2.0,1.94,278.35,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,93.0,5.0,2.0,2.64,281.45,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,93.0,5.0,2.0,3.35,283.45,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Serine,105.09,5.7,-0.8,15.29,93.0,5.0,2.0,4.05,284.75,-1.6093999999999995,3.0,3.0,-1.6093999999999995,3.0,3.0
Proline,115.13,6.3,-1.6,7.77,100.0,0.0,0.0,2.94,273.65,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,100.0,0.0,0.0,4.42,277.35,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,100.0,0.0,0.0,5.91,280.05,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,100.0,0.0,0.0,7.42,282.25,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,7.77,100.0,0.0,0.0,8.93,283.85,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,16.51,100.0,0.0,0.0,2.93,272.3,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
Proline,115.13,6.3,-1.6,16.51,100.0,0.0,0.0,4.41,276.15,-0.17700000000000032,2.0,2.0,-0.17700000000000032,2.0,2.0
