Amino Acid,No. ,MW,pI,hI,conc ,C1%,C2%,C3%,P,T
L-phenylalanine,183,165.19,5.76,2.80,1.00,100.00,0.00,0.00,3.60,276.20
L-phenylalanine,184,165.19,5.76,2.80,1.00,100.00,0.00,0.00,5.10,279.80
L-phenylalanine,185,165.19,5.76,2.80,1.00,100.00,0.00,0.00,6.60,282.20
L-phenylalanine,186,165.19,5.76,2.80,1.00,100.00,0.00,0.00,8.20,284.00
L-valine,187,117.15,6.02,4.20,5.00,100.00,0.00,0.00,3.50,275.70
L-valine,188,117.15,6.02,4.20,5.00,100.00,0.00,0.00,5.20,279.40
L-valine,189,117.15,6.02,4.20,5.00,100.00,0.00,0.00,6.60,281.70
L-valine,190,117.15,6.02,4.20,5.00,100.00,0.00,0.00,8.00,283.50
L-threonine,191,119.12,5.60,-0.70,5.00,100.00,0.00,0.00,4.00,277.00
L-threonine,192,119.12,5.60,-0.70,5.00,100.00,0.00,0.00,6.30,281.50
L-threonine,193,119.12,5.60,-0.70,5.00,100.00,0.00,0.00,8.30,283.90
L-threonine,194,119.12,5.60,-0.70,5.00,100.00,0.00,0.00,10.20,285.70
L-asparagine,195,132.12,5.43,-3.50,5.00,100.00,0.00,0.00,3.50,275.80
L-asparagine,196,132.12,5.43,-3.50,5.00,100.00,0.00,0.00,5.10,279.30
L-asparagine,197,132.12,5.43,-3.50,5.00,100.00,0.00,0.00,6.60,281.90
L-asparagine,198,132.12,5.43,-3.50,5.00,100.00,0.00,0.00,8.10,283.70
L-phenylalanine,199,165.19,5.76,2.80,5.00,100.00,0.00,0.00,3.60,275.90
L-phenylalanine,200,165.19,5.76,2.80,5.00,100.00,0.00,0.00,5.10,279.40
L-phenylalanine,201,165.19,5.76,2.80,5.00,100.00,0.00,0.00,6.50,281.90
L-phenylalanine,202,165.19,5.76,2.80,5.00,100.00,0.00,0.00,8.00,283.90
Arginine,203,174.20,10.76,-4.50,5.00,100.00,0.00,0.00,4.55,278.80
Arginine,204,174.20,10.76,-4.50,5.00,100.00,0.00,0.00,6.15,281.30
Arginine,205,174.20,10.76,-4.50,5.00,100.00,0.00,0.00,7.50,283.30
Arginine,206,174.20,10.76,-4.50,5.00,100.00,0.00,0.00,9.84,285.90
Valine,207,117.15,6.02,4.20,5.00,100.00,0.00,0.00,4.60,278.60
Valine,208,117.15,6.02,4.20,5.00,100.00,0.00,0.00,6.20,281.40
Valine,209,117.15,6.02,4.20,5.00,100.00,0.00,0.00,7.58,283.00
Valine,210,117.15,6.02,4.20,5.00,100.00,0.00,0.00,9.65,285.80
